"Prayer For Peace","Grant me your peace O Lord and make my heart still. Remove all the troubles of my heart today and surround me with your peace. Do not let my anger lead me to sin. Teach me how to dwell in your peace so that I may not disobey you through my actions, thoughts or words. Amen.",11
"Prayer For Deliverance","Powerful God, I submit myself to you this morning seeking your deliverance. I am heavily burdened with sorrow, and imprisoned by my worries. Dear Lord, stretch your powerful hand and deliver me from the chains of the devil. Set me free from my sorrows and worries. May this battle be yours for I know for sure with you on my side; no one will be against me. Amen.",12
"Prayer For God's Answer","Speak to me today, Almighty God. You said in your teachings that when we knock, the doors will be opened for us. I pray that you will answer my prayer. Hear my cries O Lord, and do not let me implore in vain. I trust in you Lord and I know that you will lead me where I go. Open my eyes and let me see, open my ears let me hear. I am here before you Lord and I beseech you to answer me. Amen.",13
"Prayer For Protection","Eternal Father, I pray that you will protect me with your rod and walk me through the light. Protect me from my enemies and the evil one. Shield me from my enemies' evil plans. Draw me away from sin and lead me to walk in your righteousness. This I ask believing and trusting in the name of your holy son, Jesus Christ, Amen. ",14
"Prayer For God's Grace","Lord you said that your grace is sufficient to us. It gives us strength when we are weak. You have washed away my sins and made me live by your grace. It is by grace that I am at your presence today and imploring you to protect me from sin, and provide me with more of your grace. Amen.",15
"Prayer For Work/Career","As I set out this morning to go to work, I ask you to give me energy O Lord. I thank you for my career and allowing me to fully exploit my purpose. Show me more and make me productive. Give me the patience to work alongside my colleagues and make us prosper together. Help me respect the authorities above me and staffs below me. Remind me of the need to offer tithe when I get my salary and help me spend the remainder wisely. Through Christ our Lord, I pray, Amen.",16
"Prayer For Family/ Friends/ Loved Ones","Thank you Lord for the gift of our family, friends and loved ones. I enjoy the joy we share together and the love they show me. I pray that you will not to allow the devil to come between us and cause havoc in our relationship. May you give them the desires of their hearts, and good health. Let us live long to see our children and teach them your love. This I pray through Jesus Christ, Amen.",17
"Prayer For Mercy","Our merciful Father, I pray that you may have mercy on me. I do not want to experience your wrath for the sins I have committed because I know I will not survive it. Have mercy on my soul and pardon me for my sins. Please forgive me O Lord and lead me to the right path where righteousness prevails. Thank you Lord for being merciful. Amen.",18
"Prayer For Faith","O Lord, as your word says, we walk by faith and not by sight. I affirm my faith in you O Lord and accept you into my life. I believe that you died for my sins and rose again to be with our Almighty Father. Dear Lord, do not let the devil attack and challenge my faith. Use me as a vessel for your work and strengthen my faith in you through your word. Let me learn more and more of your teachings so that I may give countless testimonies of what you have done for me. This I ask through Jesus Christ your beloved son, Amen.",19
"Prayer For Restoration","You sent your son to us Lord, who died for our sins and rose again in three days. You allowed him to be tortured on our behalf and you restored his life, body and soul. In the same way, Lord, I pray that you will restore my heart, mind and body. I have been destroyed through my sins and enemies. I confess my sins and let you have your way upon my life. I pray that you will send the Holy Spirit to guide me. This I pray in the name of the Father, the Son and the Holy Spirit, Amen. ",20
"Prayer For Help","Heavenly King of kings, you promised to be with me forever by guiding and protecting me from evil. Mighty Jesus, I pray for your help in this situation that I am currently facing. Please lend me your hand today for I cannot go through this on my own. Thank you for always hearing my cry and wiping my tears. In the same way, I trust you today that you will not let me be destroyed by the evil one. Hear me O Lord I pray. Amen. ",21
"Prayer For Goodwill","Merciful Father, help me do good unto others so that when I please them and make them happy, I make you happy too. I have already received your blessings and mercies O Lord even though I do not deserve it. Please help me give back to the needy too as you have given unto me. I pray through Christ my Lord and saviour, Amen.",22
"Devotional Prayer For Righteousness","Almighty Father, creator of heaven and earth and everything in it, I thank you for giving me another chance to live. I do not deserve your kindness for I have fallen short of your glory through my sinful nature. Forgive me Lord and lead me to the path of righteousness. Walk me in the light and deliver me from the darkness. Your word says that only the righteous will inherit the kingdom of heaven, Lord I want to be among them. Send the mighty Holy Spirit to guide me through this tempting life. Amen. ",23
"Prayer For Consolation","Jesus Christ my comforter, I come to you this morning with a heart full of sorrow. You know what troubles me even before I speak. I am here O Lord seeking comfort in your arms. I have nowhere else to turn to, for this world is harsh even to a widow and orphan. I seek consolation from you, Almighty Father. You promised to be the Father to the Fatherless and husband to the widows. Keep your promise to me Lord, my heart is crying out to you. Give me strength to face each day and your joy too; do not let me stand alone. Dear Lord, may you hear me today, Amen.",24
"Prayer For The Fruits Of The Holy Spirit","Lord Jesus, make me bear the fruits of the Holy Spirit. Let me love and give joy. Let me be patient to you and people. Let me show kindness and goodness. Make me faithful to your word and your work. Give me gentleness and self control so that I may be conscious and answerable for whatever I do. May you nourish these fruits with your word.  I pray trusting and believing in you, Amen ",25
"Prayer For Love","Almighty God, you have always shown your love to us. You loved us so much that you sent your only son to die for our sins. You have taught us in your word that love is the greatest gift of life. Therefore, today, I ask you dear Lord to give me love. Let your love make me kind and patient to the people around me. Let it draw away envy and pride. Do not make me self-centred and disrespectful. Do not allow me to rejoice in evil deeds, but correct them. Help me keep this greatest commandment your son Jesus Christ taught us. Amen.",26
"Prayer For Prosperity","Almighty King of Glory, I am at your feet this morning. I thank you for all the provisions you have given me. O Lord, help me prosper in my career, education and business. Let all my hard work bear fruit. Do not allow my wealth to stand between me and my faith; instead, draw me closer and closer to you. Hear me O Lord I pray, Amen. ",27
"Prayer For Wife","Almighty Father, I am amazed at how marvellous your work is. My heart is filled with joy for I know that my home is secure with the woman you've blessed me with. Thank you Father for helping me find a true helper in this world. I therefore pray that you protect her from evil. Make her respected among men and women. Bless the work of her hands and give her good health. I commit this prayer to you O Lord through Jesus Christ your beloved Son, Amen",28
"Prayer For Husband","Almighty Father, you created man in your own image. I thank you Lord for making me find love and favour in the eyes of my husband. I put him before you Lord this morning, that you may protect him from enemies or any form of evil. Dear Lord, lead him in his journey when he leaves and bring him back home safely at the end of the day. I commit this prayer in the name of the Father, the Son, and the Holy Spirit, Amen.",29
"Prayer For Their Parents","Our dear Heavenly Father, we thank you for the gift of our parents. We thank you for the kindness and steadfast love they have always shown us. They work hard to put food on our table and provide our basic needs. Lord, thank you for making them teach us your ways and lead us to the light. May they live long to see us bear the fruits of the seeds they planted in us. We send this short prayer to you through your beloved son and our Lord Jesus Christ, Amen.",30
"Prayer To Praise And Worship God","All-powerful God, Creator of the heavens and the earth; you are mighty and great; the only true God. There is none like you, no one compares to you. Every knee bows before you and every tongue confesses that you are Lord for what you do no man can do. I believe in you and exalt your name. You are the King of Kings and that is why I worship you today Lord, I give myself to you. All-powerful God, Amen.",31
"Prayer To Overcome Addiction","Dear Lord God, I am before you this morning trying to battle this addiction. I long for a sober mind once again. This addiction is like snake poison and it is killing me slowly. Save my soul, dear Lord. Let me stand up again and be the person you wanted me to be. Save me today and wash my eyes to let me see sense in your word. I surrender to you Lord for complete healing. Amen. ",32
"Prayer To Overcome Grudge","Dear Lord, my heart is gripped with anger and thirst for revenge. I have grown hatred in my heart for my wrong doers and my anger has blinded me from doing what is right. Today Lord, please help me forgive my wrongdoers and forget about revenge. Create peace among us and make us live with your love. I say this short prayer believing that all will be well. Amen. ",33
"Prayer To Overcome Pride","My pride has made me overlook others O Lord. Arrogance has taken over my heart as I no longer humble myself before you and before people. I beseech you to remove the pride from my heart before I fall to shame. Make me humble once again and teach me how to listen to the voice of reason. Your word says that if we humble ourselves before you, you will lift us up. I am at your feet Lord with humility so that you may teach me your ways and salvage my image. Through Christ I pray, Amen",34
"Prayer To Overcome Procrastination","Dear Lord, I pray that you make me strong and be able to manage my time today. I do not want to be lazy and stupid. Give me the energy to move fast, execute my daily duties, and not to make excuses for my mistakes. I pray in Jesus name, Amen.",35
"Prayer Of Thanks","Almighty Father, I come before you this morning to give thanks for the peaceful night I had. I thank you for the gift of life and your heavenly grace. I thank you for the things you've done, the things you did and the things you are yet to do in my life. I thank you Father for you are the only one who knows the plans you have for me today, and may your will be done. In Jesus' name I pray, Amen.",36
"Prayer For Patience","Heavenly Father, I pray for patience as I begin this day. I pray that you will help me stay calm and accept things the way they are. I pray that you will help me avoid sin and live according to your teachings. I pray for patience because the book of Romans Chapter 12 Verse 12 says that we should rejoice in hope, be patient in tribulation, and be constant in prayer. I believe and trust in your word, O Lord. In Jesus' name I pray, Amen.",37
"Prayer For Spiritual Guidance","Lord my God, I come before you this morning to seek your guidance throughout the day. I pray that you will guide me in every decision I make. Heavenly Father, please send me the Holy Spirit to help me make the right decisions in accordance to your teachings. Amen.",38
"Prayer For Raising Children","I thank you O Lord for the gift of children you have given me. They bring a lot of joy to our home. Lord I pray that you will help me raise them according to your ways and teachings. Let them grow with discipline, respect and love for you. Through Christ I commit this prayer, Amen. ",39
"Prayer For Justice","Lord God Almighty, I present my case to you. You know what troubles my heart. I do not want to fight this battle for I know it is yours. May your ultimate justice be served. Do not allow me to get angry and seek my own revenge because I will be sinning against you. Through your only son Jesus Christ, I pray and believe in your word, Amen. ",40
"Prayer For Salvation","Mighty Father, the book of John 3:16 says that you loved us so much that you sent your only son to die for our sins and that whoever believes in Him shall not perish but have eternal life. Lord, I seek salvation this day. I accept you into my life to avoid self-destruction. I want to seek your kingdom and live a righteous life. Please save me Lord Jesus and create in me a new spirit so that I may serve you wholly. Amen. ",41
"Prayer For Truth","Your word says that the truth will set us free. Please Lord, show me the truth in this situation I am facing right now so that I may set my mind and heart free. Lies have destroyed my trust and made me be too cautious. Set me free with your truth today, for you are the way, the truth and the light. Amen.",42
"Prayer For First Day In A New Job","Thank you Lord, for granting me a new job. As I set out this morning to work, I pray that you will guide me in this new environment. Let me show respect to my bosses and co-workers. Make me productive to my employer and maintain a good relationship with everyone in the new environment. I ask you this through Christ our Lord, Amen.",43
"Prayer For Seeking God's Understanding","Your work is marvellous Lord and no human being can understand what you do.  Lord, make me hear when you speak to me. Make me see what you show me. Do not allow me to curse your ways in anger, but appreciate that you make the best judgment for all humans. In Jesus' name I pray, Amen.",44
"Prayer For Leadership","Lord Jesus, where you go, I will follow. I submit myself to you for your leadership. I thank you for allowing me to be a leader, a position that comes with so many responsibilities. Enable me to make wise decisions during my tenure so that I may not lead your people astray. I receive your anointing and let you go before me as I follow your path. In Jesus mighty name, Amen. ",45
"Prayer When Depressed","Lord, please do not go silent on me when I suffer. This morning, I am depressed and saddened by the events happening in my life. I pray for your intervention so I may not sink further. You are my refuge during good and bad times. Help me see more of my blessings than misfortunes. Give me the peace that you promised in your word. Walk with me so that I may follow you O Lord. Amen.",46
"Prayer For Confidence","Heavenly Father, you asked us in your word, not to be afraid for you are with us. I pray that you build my confidence today as I walk out to start my day. Give me confidence to speak before people. Give me confidence so that I may not be ashamed of you in public because I know when I deny you among men, you will also deny me before our heavenly Father. I pray this short prayer through Christ who strengthens us, Amen. ",47
"Prayer For Discipleship","O Lord, you sent your son to live among men and set an example for us on how true disciples should live. Thank you for entrusting me with your image so that in everything I do, people may see your kingdom and glory. Remind me to be humble and share your teachings with others and draw them to you. I commit this prayer in the name of the Father, the Son and the Holy Spirit, Amen.",48
"Prayer Against Temptation","Dear Lord, the devil continually comes to test my faith and destroy me. I trust in you, Father, and I believe in your word. Shield me from traps of the devil in all kinds of temptation he sets. Teach me your word so that I can fully protect myself with it, just like Jesus Christ did when he was tempted in the wilderness. Hear my cry O Lord, and protect me from temptations. Amen.",49
"Prayer For God's Miracle","You are a miracle working God and nothing is impossible to you. You made a way through the red sea for the Israelites and protected Daniel while in the den of lions. You have created the world from nothingness and that is why heaven and earth bow before you. I seek your miracle today O Lord. Let me testify your marvellous work upon my life even when everyone sees no hope for me. I pray this prayer believing and trusting in your son Jesus Christ, Amen.",50
"Prayer To Save Marriage","Dear Lord, I am at your presence this morning. I cry unto you to save my marriage. You joined us together in the holy matrimony. Remind us of the vows we took before you and help us keep them. Take away these problems that threaten to tear us apart. Shield us from quarrels and fights. Make us learn how to communicate better and support each other. Do not allow the sun to set before we settle our differences. Merciful Lord, please hear my cry today, Amen.",51
"Prayer For Seeking Employment","Dear heavenly Father, as I set out to the world today to look for a job, I humbly pray that you will open doors for me. May I find favour in potential employers and get a suitable job that pleases your eyes. I have been jobless for too long Father; please touch a potential employer's heart and I will rise to the occasion if called upon. In Jesus' name I pray, Amen. ",52
"Prayer For The Return Of A Lost Loved One","It has been so long, Father, since we last saw our loved one. Today is a new day and all I am praying for is a miracle to be able to see him/her again. Send him/her home to us. I let go of any misunderstanding we may have had. Just like the prodigal son returned home to his family after a long time, please bring back our loved one O Lord. I shall welcome him/her with open arms, feed and clothe him/her. I shall rejoice and sing praises to you for what you will have done to me. Thank you for I already know my prayers have been answered. Amen. ",53
"Prayer Against Terminal Illness","Dear Lord my God, I am happy to have seen a new day. I shall continually sing your praises even though my body is getting weaker. The pain is unbearable Lord, but I know you are the ultimate healer. I trust in your healing Lord even though my case has been pronounced fatal. I am blessed to be alive this morning, and as long as I live, I shall sing your praises. Thank you Father for I know that you will not let me suffer. Amen.",54
"Prayer For Grandparents","I thank you heavenly Father for my grandparents. They said prayers for their sons and daughters, and that is why we are here today. Lord, take care of them in their old age. Even as we visit them from time to time, let us share your love. Thank you for letting them live long enough to see their children and grandchildren. Protect them from the evil ones and give them strength always. Through Christ I pray, Amen.",55
"Prayer For Financial Stability And Discipline","Almighty God, creator of heaven and earth, I thank you for my sources of finance. All silver and gold belong to you and you give them to us at your will. Make me wise while spending money. Give me the heart to share and care for the needy. Make me stable so that I may not lack, but give me just enough so that I may not be proud and foolish. This I pray trusting that you will answer my prayer, Amen. ",56
"Prayer For Shelter","Heavenly Father, may you provide me with a home. Do not let me sleep in the streets during the cold nights. Give me a home where I may be able to welcome family and friends and the homeless too. May it be built on a strong foundation so that the winds and storm may not destroy it. Cover our heads with your heavenly roof and watch over us O Lord. I pray trusting and believing that you shall answer my prayer, Amen.",57
"Prayer For Reconciliation","Heavenly Father, the mediator and peacemaker, I seek your guidance this morning. I pray that you may reconcile my family/ friends. Make us live like we used to before. Do not allow the devil to tear us apart. Let us rejoice in your peace as family/friends, live well with our neighbours and share your love once more. I know that our hearts have been heavy with anger and thirst for revenge but Lord, teach us to set free our troubles. Bring us back together under your watchful eye in Jesus' name. Amen.",58
"Prayer For Reunion With God","Dear God, I am at your feet this morning. Forgive me for going astray and leading my own life. I truly repent and request to come back home. I cannot do without you Lord, please restore the good relationship we once had. I am not worthy of your forgiveness merciful God. I humble myself before you today allowing your will to be done upon my life. In Jesus' name I pray, Amen. ",59
"Prayer Against Mental Instability And Demons","The devil is attacking my mind dear Lord, and making me lose control of it. I profess your power over mental illness and demons for there is no other power greater than yours. I claim back my sanity and cast out all demons that want to live in me. Fill me with your Holy Spirit dear Lord to fight against any demonic forces. This morning as I set out for a new day, I walk free of these evil spirits. Cast them out; do not let them torture me for I am yours Lord. I trust in you. Amen.",60
"Prayer Against Cultism","Your word says that you alone should be worshiped. You command us not to worship any other gods built by men. Today I bind all the forces of cultism and idol worship. I recognize the one true God, you who art in heaven. Please Lord, destroy any form of idols that I might have worshipped either knowingly or unknowingly, and open my spiritual eyes to avoid them in future. This I pray through your only begotten son Jesus Christ, Amen. ",61
"Prayer For The Future","Thank you Father for this bright new day that shines before me. You have led me throughout the night to this day. I do not know what the future holds for it is in your hands. Help me fulfil my purpose for creation and live a fruitful life. I commit this prayer to you through Christ my Lord, Amen.",62
"Prayer Against Worries And Anxiety","Gracious Lord, you said in your word that we should not worry about tomorrow for it will take care of itself. You have fed the birds of the air and clothed the lilies. I bring my worries and anxiety to you and let you take charge of each situation. Make my mind rest for I rely on your comforting words. I pray this short prayer in your name, Amen.",63
"Prayer Before Medical Procedure/Treatment","Dear Supreme Healer, you are the Lord who heals and gives good health. My Healer, I thank you for the life you have given me. This morning as I undergo a medical procedure, I put my doctors and my health in your hands. Their work is to treat, but you are the only one who provides healing. I pray for a successful medical procedure/treatment in your Holy name, Amen.  ",64
"Prayer For Deliverance From Poverty","Heavenly Father, to whom all things belong, please deliver me from this state of poverty. I do not want to borrow for food and clothing in the streets because I know my help comes from above. This morning, I pray that you will bless the work of my hands so that I will also be a blessing to my dependants. Amen. ",65
"Prayer To Conceive","Touch my womb O Lord and bless me with a child. Hear my cry Father, and take the shame away from me. You blessed Sarah with a child even in her old age and made the Virgin Mary conceive by the power of the Holy Spirit. O Lord, giver of children, I beseech you to bless my womb so that I may carry a child. This day I cry unto you, trusting in your word, Amen.",66
"Prayer For A Departed Loved One","O Lord the giver of life, you have called one of us to your Kingdom. Though I weep bitterly for the loss, I know he/she is in a better place. Give me the strength to carry on from here and let your will be done even as he/she rests in eternal peace. Amen.",67
"Prayer For A Friend's Problem","I thank you Father for my friend who has always been there for me through good and bad times. Today my friend is faced with a challenge and he/she is grieving. I beg you to hear his/her cry and provide hope. I do not want to witness his/her sorrow because it makes me sad too. You gave us strength and you promised to walk with us. I call upon you now to hear our joint prayer, Amen.",68
"Prayer For A Broken Heart","My heart is torn into pieces O Lord and I no longer find joy in anything. My eyes are full with tears and my mind is full of thoughts. I may not understand why some things happen but all I know is that you can mend my broken heart. Relieve me from this pain Heavenly Father and console me for I have nowhere else to turn to. Heal my heart and give me the courage to move on with life. Amen. ",69
"Prayer For Exam","Father Almighty, my academic intelligence is being put to test today. Thank you for enabling me study well and prepare for the exam. As I set out to sit for my test, please help me avoid anxiety and fear. Make me trust in myself and get sincere answers without cheating. Hear me O Lord I pray, Amen.",70
"Prayer To Overcome Guilt","My conscience is weighing heavily on me for the sins I have committed against you Lord. Even though I have found your forgiveness, I still feel guilty. Release me from this guilt my Lord and make my conscience clear. You saved me form the darkness Father; enable me to live in your light. I commit this prayer to you through Christ, Amen.",71
"Prayer For Confession","I repent and confess my sins to you Lord this morning. I have neglected to do right and constantly abused your mercies. Please forgive me heavenly Father and write my name in the book of life. From this day onwards, I will do what you require of me and take responsibility for my actions, thoughts and words. You said that if we repent our sins and confess that Jesus is Lord, we shall receive eternal life and inherit your Kingdom. Amen.",72
"Prayer For The Needy","Father in heaven, make my eyes see the plight of the needy today. Do not let me be selfish and arrogant. I do not deserve your blessings yet you have continued to bless me. I am happy that I found favour in your eyes Father. Use me today to take care of the needy people in society. Remember the poor and the elderly and give them the desires of their hearts. I trust in your name that all shall be well, Amen.",73
"Prayer Before A Meal","You have put food on my table today, Lord I thank you. Make me mindful always, of those who do not have, and remind me to be grateful of your favours. May this meal be of good use to my body and make me healthy and strong enough to rise up and continue with your service. Amen.",74
"Prayer For Against Indecent Clothing","May my clothing please you Lord Jesus. I understand that my body is your temple and that poor dressing and exposure of bodily flesh leads to sin. Do not make my dressing today lead me or anyone else to sin, but let it be an example of your stewardship. I worship you with all that I am and keep myself holy for the glory of your kingdom. Lord God, give me wisdom to choose the right things to wear. Amen.",75
"Prayer For Wedding Anniversary","Today we mark our wedding anniversary. Thank you O Lord for bringing us this far and I pray that your blessings may continue to follow this family for the rest of our lives. I pray that you will make our marriage stronger and be its foundation to help us avoid temptations and quarrels. Give us love, peace and joy and the power to overcome all evil. I thank you for being here always. Amen.",76
"Prayer For Birthday","O Lord, giver of life, you brought me into this world as a baby and you continue to teach me your ways from childhood to adulthood. As I celebrate my birthday today, I give my life to you so you may use me as you please. I celebrate the goodness and kindness you've shown me all through the years. So many people had plans for this day but they did not live to see it. For this reason, I thank and praise you my Father for I count myself among the lucky ones. In Jesus' name, Amen.",77
"Prayer Against Family Sins And Curses","All-powerful God in heaven, I beseech you this morning to deliver my family from sins and curses from the past. Our forefathers may have wronged you dear God, but I repent for their sins. Please release me and my family from curses, ties and sins from the past. Deliver me from witchcraft and ghostly powers that may be tied to this family. I trust that you will hear my cry O Lord and this family shall receive your deliverance. Amen.",78
"Prayer For Journey Mercies","Lord Almighty, as I set out this beautiful day on a long journey, I come before you to ask for your protection along the way. May you be the driver on the road, the pilot in the air and the captain in the ship that I will travel in. Protect me from accidents and mistakes along the way. Do not let the devil attack me or the vessel I will be travelling in during the journey O Lord. I start this journey with great faith that at the end of the day, I will arrive to my destination safe and sound. Amen. ",79
"Prayer For The Holy Spirit","I believe in God the Father, the Son and the Holy Spirit. I believe that you sent your son to save us from sin and the Holy Spirit to fill us with your power and renew our souls. Lord God, today I ask to be filled with the Holy Spirit for guidance and protection. I want to understand your word with the help of the Holy Spirit. Let me commune with the Holy Spirit as an intercessory of my prayers to you Almighty God. I pray this short prayer with great faith, Amen. ",80
"Prayer For Debt Relief","I am in debt O Lord and my debtors will not let me rest. This burden is heavy on me and I cannot walk freely in the city without looking out for my debtors. I pray to you this day that you may deliver me from debts. I pray that you will help me find money to pay off my debts and still have more to prevent me from begging again.  Please help me regain my freedom O merciful Father, Amen.",81
"Prayer For Good Company And Peers","Lord Jesus, you are my best friend. You lead me to the light and save me from evil. Father I also pray that you provide me with good friends and peers and when we gather together, may it be in your name for I know you will be among us. Save me from bad company and peer pressure that leads to sin. Listen to my prayer O Lord for I do not want to sin against you. Amen. ",82
"Prayer Against Fear","Lord Jesus, you commanded us not to fear for you are with us. Fear has gripped my heart and I have not been able to move forward. I come to you today hoping that you will free me from fear and give me confidence. Let me walk among fearless people and confront life with courage. Set me free once again and carry me to heights you want me to reach. Amen.",83
"Prayer For Financial Support","I need your help O Lord for I am almost giving up. You know my needs Mighty Lord even before I express myself. I am always thankful for the financial sources you have given me, including my job and my business. Father today I am stuck and I look to you for help. Please send your angels to get me out of this financial situation that has been giving me sleepless nights. I pray in Jesus' name, Amen.",84
"Prayer Against Disturbing Nightmares","Father in heaven, I am scared of nightfall because I do not know what is behind the darkness. This morning Father, I woke up to a restless mind and racing heart because I did not have a peaceful night. Father, you gave beautiful dreams and visions to your servants in the bible. You gave them dreams that revealed your glory and your love for mankind. I pray for such dreams O Lord. Save me from these nightmares and evil dreams. Please Lord, hear my prayer so I may sleep peacefully tonight. Amen.",85
"Prayer For Commitment","Thank you dear Lord for your salvation. I am much happier and free ever since you came into my life. Make me more committed to you and your work. Give me strength to continue with this journey of salvation. I want to stay forever true to you and serve you for the rest of my life. Build my faith more and more and teach me your ways every day. I commit this prayer through my Lord Jesus Christ, Amen.",86
"Prayer When Moving To A New Home","I thank you Father for the gift of shelter that you have given unto me. Today, as I move into a new home, I give you all glory and honour for making it possible. May peace and love prevail between me and my family, friends and new neighbours. May love and joy fill our home today and forever more, Amen. ",87
"Prayer When Continuing Education Or Entering College","Holy One, you have provided me with wisdom throughout my education. As I head to a new level in my education today, I pray that you will continue guiding and teaching me your holy ways. I pray for courage and energy to work hard in my studies. May you continue providing for my tuition fees and other basic necessities, and remember those who cannot afford them. I pray this with all my heart, Amen.",88
"Prayer To Serve In Church Or Community","I present myself to you as your servant, use me O Lord. Today, I would like to serve your house and your people. Let me share your goodness with other people and make them know how great you are. I am your vessel Lord; please use me to change people's lives and introduce them to your holy word. Let them see your work and glory through me. I commit myself to you, Amen.",89
"Prayer For Salary Increment","Lord Jesus, you have blessed me with a job and I thank you for that. I submitted my request for a salary increment at my workplace and I hope you will intervene O Lord and touch the hearts of my employers. I pray for an increased salary so I may continue taking care of myself and the people around me comfortably. I trust in your word and believe that things will never be the same as long as my redeemer lives. Amen. ",90
"Prayer For God's Goodness And Mercies","Dear God, may your goodness and mercies follow me all the days of my life. May I dwell in your house forever because I know I shall not lack anything in your presence. May my day be fruitful and fulfilling in your eyes. In Jesus' name I pray, Amen.",91
"Prayer For Preparing A Wedding","Dear Lord, you have set aside a partner for me and we are planning to be joined in a holy marriage. May you take over everything we plan for and open our eyes to see what pleases you, and what doesn't. May you bless this marriage with children and prosperity. May your peace be upon us this day. Amen.",92
"Prayer For Productivity At Workplace","Lord I thank you for the energy you have given me at my workplace. I commit my hard work to you today. May I be of great value to my employer, co-workers and clients. It is through your son's name, Jesus Christ, that I pray and believe, Amen. ",93
"Prayer For Talent","My Lord, help me discover the talent you planted in me. I believe that you created me for a purpose O Lord even though I am yet to discover my talent. Please reveal the talent that you gave unto me, so I may use it to bless other people and spread your gospel. Just as you taught us in the parable of the talents, help me use my talent wisely in a way that glorifies your name. Amen.",94
"Prayer For A Newly-Born Baby","Almighty giver of life, I thank you for blessing my womb and bringing forth this baby. As I take care of it, Father, I seek your guidance and protection. Give me the provisions that I need to take care of the newborn baby. I offer it to you today and I will make it grow and nurture in your word. May your will be done upon the baby's life. Amen.",95
"Prayer For Joy And Happiness","May your peace that surpasses all human understanding fill my heart so that I may know true joy and happiness. Take away the sorrows and shame from my heart this day and wipe my tears. Let me rejoice in you for what you have done to me. Give me peace to accept your wish and let me dwell in you all day. I pray through Jesus Christ our Lord, Amen.",96
"Prayer Against Gluttony","Teach me Dear Lord, how to live by your word and not by food and drink. Teach me how to fast so that I may be filled by your spirit. You said man shall not live by bread and wine alone but by your word. Give me eternal life with your word dear Lord and free me from gluttony. Amen.",97
"Prayer Before Purchasing A New Property","All good things come from you Lord and today, you are blessing me with a new property. May all the glory and praise return to you for this is not by my powers but yours. Let this new property be a continuation of your work in me. Let it not come between me and my faith and destroy our relationship by making me proud. I choose to remain humble in your presence, Almighty Father. Thank you for your blessings, Amen.",98
"Prayer Before Entering A New Business","Lord Jesus, thank you for expanding my business territory. I stay true to righteous business practices and remember to give Caeser what belongs to him and give to you what belongs to you through tax payment and tithing. Thank you for this opportunity once again; I will use it to praise and glorify your holy name. Amen.",99
